EC 46.pdf timeline — 285 distinct documents
==================================================================================================================================
  #  DATE          DOC NO         NATURE                           SURVEY(S)                        EXTENT | CONSIDERATION
==================================================================================================================================
 46  10-Apr-2008   3110/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
 47  10-Apr-2008   3111/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
 48  10-Apr-2008   3112/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
 49  10-Apr-2008   3113/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
 50  10-Apr-2008   3115/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
 51  10-Apr-2008   3116/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
 52  10-Apr-2008   3120/2008      உரிமை மாற்றம் பெருநகர் அல்லாத    N/A                              1200 சதுரடி | ₹. 26,400/-
 53  10-Apr-2008   53             உரிமை மாற்றம்                    N/A                              1200சதுரடி | 26,400/-
 54  25-Apr-2008   54             உரிமை மாற்றம்                    45/3, 46/2                       1200சதுரடி | 26,400/-
 55  25-Apr-2008   55             உரிமை மாற்றம்                    46/2                             1200சதுரடி | 26,400/-
 56  25-Apr-2008   56             உரிமை மாற்றம்                    45/2, 46/2                       1200சதுரடி | 26,400/-
 57  25-Apr-2008   57             உரிமை மாற்றம்                    45/2, 46/2                       1200சதுரடி | 31,856/-
 58  25-Apr-2008   58             உரிமை மாற்றம்                    45/2, 46/2                       1448சதுரடி | 26,400/-
 59  25-Apr-2008   59             உரிமை மாற்றம்                    46/1A                            1200சதுரடி | 26,400/-
 60  25-Apr-2008   60             உரிமை மாற்றம்                    46/1A                            1200சதுரடி | 26,400/-
 61  25-Apr-2008   61             உரிமை மாற்றம்                    46/2                             1200சதுரடி | 26,400/-
 62  25-Apr-2008   62             உரிமை மாற்றம்                    46/2                             1200சதுரடி | 26,400/-
 63  25-Apr-2008   63             உரிமை மாற்றம்                    46/2                             1200சதுரடி | 26,400/-
 64  25-Apr-2008   64             உரிமை மாற்றம்                    46/2                             1200சதுரடி | 26,400/-
 65  25-Apr-2008   65             உரிமை மாற்றம்                    46/1C                            1200சதுரடி | 26,400/-
 66  25-Apr-2008   66             உரிமை மாற்றம்                    46/1C, 46/1D                     1200சதுரடி | 26,400/-
 67  25-Apr-2008   67             உரிமை மாற்றம்                    45/4, 46/1C                      1200சதுரடி | 26,400/-
 68  25-Apr-2008   68             உரிமை மாற்றம்                    45/4, 46/1C                      1200சதுரடி | 26,400/-
 69  25-Apr-2008   69             உரிமை மாற்றம்                    46/2                             1200சதுரடி | 26,400/-
 70  25-Apr-2008   70             உரிமை மாற்றம்                    46/2                             1200சதுரடி | 26,400/-
 71  25-Apr-2008   71             உரிமை மாற்றம்                    46/2                             1200சதுரடி | 26,400/-
 72  25-Apr-2008   72             உரிமை மாற்றம்                    46/2                             1200சதுரடி | 26,400/-
 73  25-Apr-2008   73             உரிமை மாற்றம்                    45/3, 46/2                       1200சதுரடி | 26,400/-
 74  25-Apr-2008   74             உரிமை மாற்றம்                    45/3, 46/2                       1200சதுரடி | 26,400/-
 75  25-Apr-2008   75             உரிமை மாற்றம்                    45/3, 46/2                       1200சதுரடி | 26,400/-
 76  25-Apr-2008   76             உரிமை மாற்றம்                    46/1C, 46/1D                     1200சதுரடி | 26,400/-
 77  25-Apr-2008   77             உரிமை மாற்றம்                    46/2                             1200சதுரடி | 26,400/-
 78  25-Apr-2008   78             உரிமை மாற்றம்                    46/2                             1200சதுரடி | 26,400/-
 79  25-Apr-2008   79             உரிமை மாற்றம்                    46/2                             1200சதுரடி | 26,400/-
 80  25-Apr-2008   80             உரிமை மாற்றம்                    46/2                             1200சதுரடி | 26,400/-
 81  25-Apr-2008   81             உரிமை மாற்றம்                    46/1A                            1200சதுரடி | 26,400/-
 82  25-Apr-2008   82             உரிமை மாற்றம்                    46/1D                            1200சதுரடி | 26,400/-
 83  25-Apr-2008   83             உரிமை மாற்றம்                    45/2, 46/2                       1200சதுரடி | 26,400/-
 84  25-Apr-2008   84             உரிமை மாற்றம்                    45/3, 46/2                       1200சதுரடி | 26,400/-
 85  25-Apr-2008   85             உரிமை மாற்றம்                    45/2, 46/2                       1200சதுரடி | 26,400/-
 86  28-Apr-2008   86             உரிமை மாற்றம்                    46/1C, 46/1D                     1200சதுரடி | 26,400/-
 87  28-Apr-2008   87             உரிமை மாற்றம்                    46/1C, 46/1D                     1200சதுரடி | 26,400/-
 88  28-Apr-2008   88             உரிமை மாற்றம்                    46/1C                            1200சதுரடி | 26,400/-
 89  28-Apr-2008   89             உரிமை மாற்றம்                    46/3                             1200சதுரடி | 26,400/-
 90  28-Apr-2008   90             உரிமை மாற்றம்                    46/2                             1200சதுரடி | 26,400/-
 91  28-Apr-2008   91             உரிமை மாற்றம்                    46/2                             1200சதுரடி | 26,400/-
 92  28-Apr-2008   92             உரிமை மாற்றம்                    46/1D                            1200சதுரடி | 26,400/-
 93  28-Apr-2008   93             உரிமை மாற்றம்                    46/1D                            1200சதுரடி | 26,400/-
 94  09-May-2008   94             உரிமை மாற்றம்                    46/1A, 46/1B                     1200சதுரடி | 26,400/-
 95  09-May-2008   95             உரிமை மாற்றம்                    46/1A, 46/1B                     1200சதுரடி | 26,400/-
 96  09-May-2008   96             உரிமை மாற்றம்                    46/1A, 46/2                      1400சதுரடி | 30,800/-
 97  09-May-2008   97             உரிமை மாற்றம்                    46/1D                            1400சதுரடி | 30,800/-
 98  09-May-2008   98             உரிமை மாற்றம்                    46/1D                            1200சதுரடி | 26,400/-
 99  09-May-2008   99             உரிமை மாற்றம்                    46/1D                            1200சதுரடி | 26,400/-
100  09-May-2008   100            உரிமை மாற்றம்                    N/A                              1200சதுரடி
101  09-May-2008   101            உரிமை மாற்றம்                    46/2                             1200சதுரடி | 26,400/-
102  09-May-2008   102            உரிமை மாற்றம்                    46/1D                            1200சதுரடி | 26,400/-
103  09-May-2008   103            உரிமை மாற்றம்                    46/1A                            1200சதுரடி | 26,400/-
104  09-May-2008   104            உரிமை மாற்றம்                    46/1A, 46/2                      1200சதுரடி | 26,400/-
105  09-May-2008   105            உரிமை மாற்றம்                    46/1A, 46/2                      1200சதுரடி | 26,400/-
106  09-May-2008   4155/2008      உரிமை மாற்றம்                    46/1A                            1200சதுரடி | ரூ. 26,400/-
107  09-May-2008   4156/2008      உரிமை மாற்றம்                    46/1B                            1200சதுரடி | ரூ. 26,400/-
108  09-May-2008   4157/2008      உரிமை மாற்றம்                    46/1B                            1200சதுரடி | ரூ. 26,400/-
109  09-May-2008   4158/2008      உரிமை மாற்றம்                    46/2                             1400சதுரடி | ரூ. 26,400/-
110  09-May-2008   4159/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
111  09-May-2008   4161/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
112  09-May-2008   4162/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
113  09-May-2008   4163/2008      உரிமை மாற்றம்                    N/A                              1200சதுரடி | ரூ. 26,400/-
114  09-May-2008   4164/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
115  09-May-2008   4165/2008      உரிமை மாற்றம்                    46/1C                            1200சதுரடி | ரூ. 26,400/-
116  22-May-2008   4531/2008      உரிமை மாற்றம்                    46/1C, 46/1D                     1200சதுரடி | ரூ. 26,400/-
117  22-May-2008   4532/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
118  22-May-2008   4534/2008      உரிமை மாற்றம்                    46/2                             1200சதுரடி | ரூ. 26,400/-
